@relation Train

@attribute X numeric
@attribute Y numeric
@attribute Z numeric
@attribute class {0,1,2}

@data
-0.786438,0.611053,0.042328,0
-0.764648,0.629608,0.042419,1
-0.786591,0.610352,0.042633,0
1.000853,-0.066988,0.019065,2
-0.214053,-0.950925,0.055743,2
0.016164,-1.015224,0.093204,1
0.033063,-1.001964,0.083808,0
0.021251,0.031891,-1.000433,0
-0.862709,-0.505947,0.003423,2
-0.076843,0.970398,0.038849,2
0.033076,-1.002626,0.080448,0
0.019163,0.031817,-0.998986,0
-0.773895,0.644928,0.042053,1
-0.2691,-1.007301,0.238624,2
0.925797,-0.322459,0.096969,2
-0.787048,0.610809,0.041992,0
0.033183,-1.002166,0.083287,0
0.043079,-0.996471,0.02012,1
0.01998,0.033224,-0.998593,0
0.033623,-1.002996,0.079314,0
-0.411947,-0.91253,0.060247,2
0.112823,0.996857,0.029846,2
-0.786102,0.611481,0.036743,0
0.019368,-0.00427,-1.060507,1
0.032344,-1.01652,0.088724,0
0.016966,0.035687,-1.002255,0
0.020786,0.032558,-1.000304,0
0.022336,0.029761,-0.999061,0
-0.746777,-0.671713,0.036185,2
-0.853108,-0.536473,0.028922,2
0.041452,-0.993754,0.007087,1
0.037613,-1.000721,0.039036,1
-0.250775,-0.968544,0.104322,2
0.022142,0.030749,-0.99795,0
0.020585,0.031078,-1.001455,0
0.033993,-1.003118,0.079372,0
0.014627,0.065666,-0.952352,1
1.042982,-0.163381,0.174288,2
0.03336,-1.003673,0.081202,0
0.033578,-1.002377,0.077213,0
-0.787231,0.60907,0.041626,0
0.02115,0.032921,-0.99993,0
-0.246638,-0.98274,0.10403,2
-0.726022,-0.652965,-0.026453,2
0.139374,0.935028,0.025238,2
0.193481,0.967712,0.156494,2
1.017471,-0.166583,0.101875,2
0.016326,0.06557,-0.992644,0
0.03354,-1.002845,0.080841,0
0.021376,0.030683,-0.998017,0
-0.760681,0.612976,0.039337,1
-0.743948,-0.667966,0.046673,2
-0.08725,1.020111,-0.144928,2
-0.78653,0.612579,0.03653,0
0.021023,0.033139,-0.998527,0
0.018851,0.032423,-0.998796,0
-0.785828,0.612152,0.036072,0
1.002039,-0.067709,-0.087134,2
0.021285,0.031171,-0.999592,0
0.02196,0.066687,-1.088291,1
-0.215834,-0.970604,0.014624,2
0.03209,-1.001753,0.080702,0
-0.226147,-1.005805,0.12865,2
-0.786011,0.610596,0.038513,0
-0.760956,0.6138,0.042969,1
0.020917,0.031423,-1.000138,0
0.033403,-1.002411,0.078861,0
-0.785553,0.612366,0.036743,0
0.003487,-0.031376,-0.913446,1
0.018609,0.031961,-0.998744,0
0.000235,0.02487,-0.868724,1
0.033122,-1.002615,0.08298,0
-0.039063,1.010284,0.054993,2
-0.786011,0.612183,0.036255,0
-0.786469,0.610199,0.038666,0
-0.78598,0.611237,0.038727,0
-0.741328,-0.926454,-0.052127,2
0.034604,-1.004495,0.083022,0
-0.785583,0.610229,0.036926,0
-0.786774,0.610657,0.039948,0
-0.786743,0.610474,0.040741,0
-0.786285,0.612427,0.036224,0
0.972996,-0.208055,0.151014,2
0.020933,0.032966,-0.999109,0
0.011922,0.024303,-1.083833,1
-0.785431,0.610748,0.03598,0
0.007573,0.036545,-0.917222,1
-0.229431,1.032379,0.064178,2
0.032815,-1.00271,0.083133,0
-0.00191,0.008378,-1.134004,0
0.030468,-0.005261,-0.997508,1
0.05519,-0.976214,-0.019291,1
0.033626,-1.003124,0.079618,0
0.037542,-0.977521,0.01032,0
1.052016,-0.033268,-0.293158,2
0.020781,0.032294,-0.997599,0
0.042846,-0.986414,0.068328,1
0.020543,0.03157,-0.998282,0
0.033394,-1.003082,0.08203,0
-0.284698,1.128235,-0.000702,2
0.032342,-1.002522,0.081215,0
-0.174927,0.928192,0.107971,2
0.949389,-0.247128,0.153489,2
0.041102,-0.979832,0.023071,1
0.020014,0.032546,-0.99833,0
-0.786255,0.612579,0.039276,0
0.033342,-1.002772,0.078676,0
1.013834,-0.11248,0.085227,2
0.021935,0.03012,-0.998784,0
-0.78598,0.610504,0.040405,0
0.033372,-1.002317,0.07874,0
0.032777,-1.002053,0.082161,0
0.032988,-1.002209,0.076332,0
0.019961,0.031961,-0.999801,0
0.02131,0.032031,-0.9997,0
-0.733648,-0.685992,0.039048,2
-0.074233,-0.108152,-0.930629,0
0.032889,-1.003369,0.079651,0
-0.762878,0.589691,0.04306,1
-0.234338,-0.966503,0.113682,2
0.021669,-1.026973,0.172489,1
0.018757,0.032564,-0.998185,0
0.102386,0.981232,0.053101,2
0.033091,-1.003186,0.082671,0
0.022785,0.031522,-0.99973,0
0.151459,1.005676,-0.066711,2
-0.221094,-0.951493,0.015013,2
0.033982,-1.00291,0.082638,0
-0.403778,0.966553,0.154846,2
-0.807983,0.598022,0.052368,1
0.037718,-1.008387,0.14272,1
0.033732,-1.002868,0.081999,0
0.013751,-1.029936,0.132969,1
0.023831,0.094524,-0.927873,1
-0.728708,-0.673678,-0.008633,2
-0.004008,-0.001509,-0.897637,1
0.01914,0.066944,-0.874136,0
0.034275,-1.004627,0.089521,0
1.027136,-0.14253,0.00863,2
0.032066,-1.002314,0.081431,0
0.024967,0.071791,-0.995838,1
-0.784882,0.611786,0.034607,0
0.032479,-1.003348,0.0831,0
0.032507,-1.00334,0.082673,0
0.034011,-1.002635,0.082548,0
-0.315745,-0.910639,-0.039917,2
0.020016,0.032237,-0.998152,0
-0.785583,0.610474,0.039795,0
0.021423,0.033285,-0.999588,0
-0.786102,0.641541,0.04364,1
0.081451,1.056061,-0.038147,2
-0.786865,0.610016,0.041229,0
0.019189,0.054046,-1.012233,1
-0.785461,0.610199,0.036133,0
-0.786285,0.611816,0.036285,0
-0.787445,0.628601,0.047699,1
1.061767,-0.014329,-0.162554,2
-0.767365,0.639587,0.035645,1
-0.785126,0.611938,0.035309,0
0.155182,0.983032,-0.019012,2
0.019526,0.032657,-0.999579,0
0.034247,-1.002992,0.080684,0
-0.161591,0.939087,0.08432,2
0.008888,-1.016348,0.164991,1
-0.738298,-0.669621,0.0244,2
0.020507,0.032306,-0.998392,0
0.033095,-1.001988,0.078957,0
0.021087,0.032999,-0.999199,0
1.016785,-0.055654,0.227947,2
0.022278,0.033944,-1.000089,0
0.006444,-1.025364,0.197836,1
0.033517,-1.00239,0.082369,0
-0.815765,0.601471,0.05838,0
0.023194,0.030442,-1.000719,0
0.032647,-1.002033,0.081125,0
-0.716536,-0.650503,-0.049458,2
0.008664,-0.117446,-1.158347,1
0.018554,0.028641,-1.075534,1
-0.019078,-0.029512,-0.9327,1
0.033157,-1.002539,0.083712,0
-0.786713,0.610443,0.040375,0
0.032515,-1.002603,0.079261,0
0.067973,0.124357,-1.077943,1
-0.202725,-0.993906,0.07891,2
0.028136,-1.013741,0.070761,1
-0.764099,0.557922,0.032776,0
-0.785583,0.611328,0.035889,0
0.021365,0.032308,-0.998143,0
